FID,Date,Island,Boat,Waypoint,Latitude,Longitude,Depth__m_,Habitat_Pr
105,10/21/2015 0:00:00,Montserrat,CC,185.000000000000000,16.708300000000001,-62.231650000000002,34.000000000000000,Medium
106,10/21/2015 0:00:00,Montserrat,CC,186.000000000000000,16.711079999999999,-62.238419999999998,17.000000000000000,Medium
107,10/21/2015 0:00:00,Montserrat,CC,187.000000000000000,16.711449999999999,-62.239359999999998,17.000000000000000,Medium
108,10/21/2015 0:00:00,Montserrat,CC,188.000000000000000,16.714169999999999,-62.236210000000000,16.000000000000000,Medium
109,10/21/2015 0:00:00,Montserrat,CC,189.000000000000000,16.715599999999998,61.239319999999999,16.000000000000000,Low
110,10/21/2015 0:00:00,Montserrat,CC,190.000000000000000,16.715650000000000,-62.239899999999999,16.000000000000000,Medium
111,10/21/2015 0:00:00,Montserrat,CC,191.000000000000000,16.716850000000001,-62.241019999999999,14.000000000000000,Low
112,10/21/2015 0:00:00,Montserrat,CC,192.000000000000000,16.715270000000000,-62.242429999999999,17.000000000000000,High
113,10/21/2015 0:00:00,Montserrat,CC,193.000000000000000,16.724150000000002,-62.244140000000002,12.000000000000000,Low
114,10/21/2015 0:00:00,Montserrat,CC,194.000000000000000,16.733470000000001,-62.236660000000001,13.000000000000000,Low
115,10/21/2015 0:00:00,Montserrat,CC,196.000000000000000,16.734220000000001,-62.236820000000002,15.000000000000000,Low
116,10/21/2015 0:00:00,Montserrat,CC,197.000000000000000,16.735060000000001,-62.236640000000001,15.000000000000000,Low
117,10/21/2015 0:00:00,Montserrat,CC,198.000000000000000,16.739940000000001,-62.239249999999998,30.000000000000000,High
118,10/21/2015 0:00:00,Montserrat,CC,199.000000000000000,16.740700000000000,-62.238869999999999,30.000000000000000,Medium
119,10/21/2015 0:00:00,Montserrat,CC,200.000000000000000,16.740939999999998,-62.237990000000003,21.000000000000000,Medium
120,10/21/2015 0:00:00,Montserrat,CC,201.000000000000000,16.741940000000000,-62.238090000000000,28.000000000000000,Low
121,10/21/2015 0:00:00,Montserrat,CC,202.000000000000000,16.741990000000001,-62.237710000000000,25.000000000000000,High
122,10/21/2015 0:00:00,Montserrat,CC,203.000000000000000,16.747232000000000,-62.237670000000001,17.000000000000000,High
123,10/21/2015 0:00:00,Montserrat,CC,204.000000000000000,16.742850000000001,-62.237720000000003,15.000000000000000,Medium
124,10/21/2015 0:00:00,Montserrat,CC,205.000000000000000,16.743340000000000,-62.237769999999998,16.000000000000000,Medium
125,10/21/2015 0:00:00,Montserrat,CC,206.000000000000000,16.743140000000000,-62.238480000000003,26.000000000000000,Medium
126,10/21/2015 0:00:00,Montserrat,CC,207.000000000000000,16.750900000000001,-62.237870000000001,15.000000000000000,Slope
127,10/21/2015 0:00:00,Montserrat,CC,208.000000000000000,16.756190000000000,-62.231059999999999,9.000000000000000,Low
128,10/21/2015 0:00:00,Montserrat,CC,209.000000000000000,16.757809999999999,-62.230089999999997,10.000000000000000,High
129,10/21/2015 0:00:00,Montserrat,CC,210.000000000000000,16.758520000000001,-62.229649999999999,11.000000000000000,High
130,10/21/2015 0:00:00,Montserrat,CC,211.000000000000000,16.760780000000000,-62.228340000000003,10.000000000000000,High
131,10/21/2015 0:00:00,Montserrat,CC,212.000000000000000,16.763390000000001,-62.230890000000002,26.000000000000000,High
132,10/21/2015 0:00:00,Montserrat,CC,213.000000000000000,16.764460000000000,-62.237389999999998,37.000000000000000,Medium
133,10/21/2015 0:00:00,Montserrat,CC,214.000000000000000,16.764910000000000,-62.232689999999998,29.000000000000000,Medium
134,10/21/2015 0:00:00,Montserrat,CC,215.000000000000000,16.766400000000001,-62.231140000000003,41.000000000000000,Medium
135,10/21/2015 0:00:00,Montserrat,CC,216.000000000000000,16.767009999999999,-62.231110000000001,42.000000000000000,Low
136,10/21/2015 0:00:00,Montserrat,CC,217.000000000000000,16.768030000000000,-62.233960000000003,47.000000000000000,Medium
137,10/21/2015 0:00:00,Montserrat,CC,218.000000000000000,16.769929999999999,-62.234050000000003,57.000000000000000,Low
138,10/21/2015 0:00:00,Montserrat,CC,219.000000000000000,16.773660000000000,-62.231169999999999,55.000000000000000,Low
139,10/21/2015 0:00:00,Montserrat,CC,220.000000000000000,16.774560000000001,-62.230930000000001,53.000000000000000,Low
140,10/21/2015 0:00:00,Montserrat,CC,221.000000000000000,16.775520000000000,-62.230879999999999,50.000000000000000,Slope
141,10/21/2015 0:00:00,Montserrat,CC,222.000000000000000,16.771599999999999,-62.226120000000002,25.000000000000000,Slope
142,10/21/2015 0:00:00,Montserrat,CC,223.000000000000000,16.775770000000001,-62.224620000000002,22.000000000000000,Low
143,10/21/2015 0:00:00,Montserrat,CC,224.000000000000000,16.778430000000000,-62.222969999999997,15.000000000000000,Low
144,10/21/2015 0:00:00,Montserrat,CC,225.000000000000000,16.782609999999998,-62.219990000000003,10.000000000000000,High
145,10/21/2015 0:00:00,Montserrat,CC,226.000000000000000,16.783619999999999,-62.219679999999997,10.000000000000000,Medium
146,10/21/2015 0:00:00,Montserrat,CC,227.000000000000000,16.790270000000000,-62.217849999999999,15.000000000000000,High
147,10/21/2015 0:00:00,Montserrat,CC,228.000000000000000,16.790669999999999,-62.218000000000004,18.000000000000000,Medium
148,10/21/2015 0:00:00,Montserrat,CC,229.000000000000000,16.790579999999999,-62.217849999999999,13.000000000000000,Low
149,10/21/2015 0:00:00,Montserrat,CC,230.000000000000000,16.791290000000000,-62.216349999999998,13.000000000000000,High
150,10/21/2015 0:00:00,Montserrat,CC,231.000000000000000,16.791950000000000,-62.216479999999997,14.000000000000000,High
151,10/21/2015 0:00:00,Montserrat,CC,232.000000000000000,16.792500000000000,-62.216290000000001,19.000000000000000,High
152,10/21/2015 0:00:00,Montserrat,CC,233.000000000000000,16.793109999999999,-62.215750000000000,18.000000000000000,Low
153,10/21/2015 0:00:00,Montserrat,CC,234.000000000000000,16.795439999999999,-62.216780000000000,22.000000000000000,Medium
154,10/21/2015 0:00:00,Montserrat,CC,235.000000000000000,16.797180000000001,-62.218699999999998,36.000000000000000,Dropoff
155,10/21/2015 0:00:00,Montserrat,CC,236.000000000000000,16.797889999999999,-62.218269999999997,37.000000000000000,Shelf
156,10/21/2015 0:00:00,Montserrat,CC,237.000000000000000,16.800100000000000,-62.221890000000002,46.000000000000000,Medium
157,10/21/2015 0:00:00,Montserrat,CC,238.000000000000000,16.795470000000002,-62.213239999999999,14.000000000000000,High
